製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）
計測時ID,1,2,3
計測開始時刻,2024/6/17 12:32,2024/6/17 12:32,2024/6/17 12:32
サンプリング周波数,200,200,200
シーケンス数,5788,5788,5788
PGAゲイン,x12,x12,x12
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
コメント,,,
ファイル保存形式,演算データ,演算データ,演算データ
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV]
362,0.03116672,-0.00204332,-0.06774946
363,-0.06427829,0.00305266,0.01902992
364,0.09480494,-0.01228451,0.00915799
365,-0.06578,-0.01979308,-0.01688813
366,0.06366283,-0.01467249,-0.05147679
367,-0.07555345,-0.00305266,-0.00152633
368,0.0729193,0.00051698,-0.00002462
369,0.08724713,-0.00883796,-0.01432783
370,0.05608041,-0.00792708,0.00792708
371,0.08655782,-0.01117669,0.00928109
372,-0.13387412,-0.00519445,0.00359427
373,0.05733594,-0.00489903,-0.01959614
374,-0.18631102,-0.01479558,-0.00497289
375,-0.02986195,-0.01570645,-0.02481521
376,0.03515488,-0.00723777,-0.01001963
377,0.01947305,0.00088626,0.01166906
378,0.06304737,0.00152633,0.00920723
379,-0.06134871,-0.01548489,0.06004395
380,0.04396822,-0.02011312,-0.02176255
381,-0.10184576,-0.01905454,-0.06427829
382,-0.05467717,-0.01363852,-0.04822718
383,-0.02944344,-0.00435743,-0.0176513
384,0.01866064,-0.00940418,-0.00132939
385,0.05066439,-0.01413088,-0.01770053
386,0.11971862,-0.00179713,0.05406171
387,-0.05093519,-0.00071393,0.05918231
388,0.20036805,0.00312652,0.0107828
389,-0.11979247,-0.02579994,0.02530758
390,-0.17966409,-0.0187345,-0.08852728
391,0.13200313,-0.01110284,-0.02471674
392,-0.05105828,-0.00965036,-0.02703085
393,0.06058555,0.00132939,-0.05002431
394,-0.00817326,-0.01915301,0.07267312
395,0.03141291,-0.02316579,-0.0020187
396,-0.08131413,-0.01011811,-0.01004425
397,0.00711468,-0.00051698,-0.00137862
398,0.08212653,0.00475133,0.01651886
399,0.10681865,-0.01100436,0.02296884
400,-0.21993957,-0.02346121,-0.0082225
401,0.18768965,-0.01491867,-0.03714896
402,-0.04039857,-0.01112746,0.04576535
403,-0.07971394,-0.00324961,-0.03586881
404,-0.03259458,-0.01061047,-0.04416517
405,0.00706544,-0.01262917,0.01198909
406,-0.00411125,-0.01011811,0.01942381
407,0.01368775,0.00041851,0.03192989
408,0.0306005,0.00312652,0.02865566
409,-0.01262917,-0.01149673,-0.01395856
410,0.11678905,-0.00477594,0.00017233
411,-0.010512,-0.00494827,-0.02885261
412,-0.11678905,0.00709006,-0.03047741
413,-0.06789717,0.01277688,-0.01435245
414,0.08057558,-0.00933032,-0.00182175
415,0.08404675,-0.01201371,0.00423434
416,0.09401715,-0.00413587,0.00819788
417,-0.03825678,0.00465285,0.00497289
418,-0.17112156,0.0064746,-0.00292957
419,-0.03823216,-0.01282612,0.00113244
420,0.00534216,-0.01312153,0.00182175
421,-0.00494827,-0.01708508,0.01479558
422,0.02545529,-0.00896105,-0.01553412
423,-0.01164444,-0.00580991,0.00096011
424,0.00440667,-0.01777439,0.10940357
425,0.19573982,-0.02245186,-0.0362627
426,0.01703584,-0.0175282,-0.0983992
427,-0.01966999,-0.00851792,-0.00585915
428,0.01787286,-0.00672079,-0.01595264
429,0.01297383,-0.01486943,-0.01806981
