製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,
計測開始時刻,10/10 16:07:20,10/10 16:07:20,
サンプリング周波数,200,200,
シーケンス数,7188,7188,
PGAゲイン,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,
ファイル保存形式,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],
627,0.00950265,-0.02932035,
628,-0.00068931,-0.1152381,
629,-0.0002708,0.06730633,
630,-0.00248644,0.03884762,
631,0.00120629,0.01984232,
632,0.03244687,-0.02786788,
633,0.00241259,0.02589841,
634,-0.00263415,-0.0221072,
635,-0.01533718,0.01090589,
636,-0.00846868,0.00920723,
637,0.02402743,-0.03293924,
638,-0.00327423,0.0547264,
639,0.00004924,-0.00573606,
640,0.01358928,-0.01856217,
641,-0.00219103,-0.0385522,
642,0.00226488,0.02011312,
643,-0.01088127,-0.00834559,
644,0.00854254,-0.0107828,
645,0.00440667,-0.00878872,
646,0.02122094,-0.0181929,
647,-0.00987192,-0.00268339,
648,-0.00905952,0.00841945,
649,-0.01479558,0.0249383,
650,0.01789748,-0.08633625,
651,0.01831599,0.00521907,
652,0.00046775,-0.04753787,
653,0.00558835,-0.01789748,
654,-0.004579,0.00551449,
655,0.01942381,-0.00920723,
656,-0.01260455,0.01856217,
657,-0.01166906,0.02666158,
658,0.01011811,-0.01885759,
659,-0.00681926,-0.02567685,
660,0.00765628,-0.02644002,
661,0.004579,0.05947773,
662,0.01235837,-0.03845373,
663,0.0149679,-0.04436211,
664,0.01966999,0.02703085,
665,0.01287535,-0.02454441,
666,-0.00204332,0.04414055,
667,-0.0153618,-0.02112247,
668,0.00251106,-0.01363852,
669,-0.00999502,-0.00548987,
670,0.00556373,0.01947305,
671,-0.0190053,0.00721315,
672,0.0102412,-0.01656809,
673,0.0082225,-0.01826675,
674,0.00573606,-0.00755781,
675,-0.0074101,0.0675279,
676,-0.00622842,-0.09426333,
677,-0.00809941,-0.00507136,
678,0.010512,0.00782861,
679,0.01351543,0.03325928,
680,-0.00187099,-0.07476567,
681,0.00179713,0.044756,
682,0.01413088,-0.04522375,
683,-0.00891181,0.0053914,
684,0.01386008,-0.0349087,
685,0.01917763,-0.03677969,
686,-0.01558336,0.10169805,
687,-0.01595264,-0.02134404,
688,0.00273263,0.00199408,
689,0.02981272,-0.03850297,
690,0.01619882,0.01265379,
691,-0.0318068,-0.00416049,
692,0.02833562,-0.0074101,
693,-0.02220567,0.00573606,
694,-0.00827174,0.00893643,
695,-0.00093549,-0.08188035,
696,0.0130723,0.06984202,
697,-0.00285572,-0.12141728,
698,0.00140324,-0.03328389,
699,-0.02149174,-0.02636616,
700,0.01068433,-0.05322469,
701,-0.00347118,-0.02656311,
702,0.00130477,-0.06297352,
703,0.00398816,0.0121368,
704,0.00150171,0.00487442,
705,0.00679464,0.05580961,
706,0.00952727,0.00933032,
707,-0.0122599,-0.02267342,
708,-0.00211717,-0.01014272,
709,0.00366812,0.02442132,
710,0.00192022,0.01272764,
711,0.01888221,-0.00571144,
712,-0.00384045,-0.00546525,
713,0.01499252,-0.07390403,
714,0.01351543,-0.04091556,
715,0.0107828,0.02085167,
716,-0.01339234,-0.00472671,
717,-0.00169866,0.00051698,
718,0.0095765,-0.04249112,
719,-0.00100935,0.00551449,
